minimo {99999,-99999}
minimo {99868,-99868}
minimo {99867,-99867}
minimo {99866,-99866}
minimo {99865,-99865}
minimo {99864,-99864}
minimo {99863,-99863}
minimo {99862,-99862}
minimo {99861,-99861}
minimo {99860,-99860}
minimo {99859,-99859}
minimo {99858,-99858}
minimo {99857,-99857}
minimo {99856,-99856}
minimo {99855,-99855}
minimo {99854,-99854}
minimo {99853,-99853}
minimo {99852,-99852}
minimo {99851,-99851}
minimo {99850,-99850}
minimo {99849,-99849}
minimo {99848,-99848}
minimo {99847,-99847}
minimo {99846,-99846}
minimo {99845,-99845}
minimo {99844,-99844}
minimo {99843,-99843}
minimo {99842,-99842}
minimo {99841,-99841}
minimo {99840,-99840}
minimo {99839,-99839}
minimo {99838,-99838}
minimo {99837,-99837}
minimo {99836,-99836}
minimo {99835,-99835}
minimo {99834,-99834}
minimo {99833,-99833}
minimo {99832,-99832}
minimo {99831,-99831}
minimo {99830,-99830}
minimo {99829,-99829}
minimo {99828,-99828}
minimo {99827,-99827}
minimo {99826,-99826}
minimo {99825,-99825}
minimo {99824,-99824}
minimo {99823,-99823}
minimo {99822,-99822}
minimo {99821,-99821}
minimo {99820,-99820}
minimo {99819,-99819}
minimo {99818,-99818}
minimo {99817,-99817}
minimo {99816,-99816}
minimo {99815,-99815}
minimo {99814,-99814}
minimo {99813,-99813}
minimo {99812,-99812}
minimo {99811,-99811}
minimo {99810,-99810}
minimo {99809,-99809}
minimo {99808,-99808}
minimo {99807,-99807}
minimo {99806,-99806}
minimo {99805,-99805}
minimo {99804,-99804}
minimo {99803,-99803}
minimo {99802,-99802}
minimo {99801,-99801}
minimo {99800,-99800}
minimo {99799,-99799}
minimo {99798,-99798}
minimo {99797,-99797}
minimo {99796,-99796}
minimo {99795,-99795}
minimo {99794,-99794}
minimo {99793,-99793}
minimo {99792,-99792}
minimo {99791,-99791}
minimo {99790,-99790}
minimo {99789,-99789}
minimo {99788,-99788}
minimo {99787,-99787}
minimo {99786,-99786}
minimo {99785,-99785}
minimo {99784,-99784}
minimo {99783,-99783}
minimo {99782,-99782}
minimo {99781,-99781}
minimo {99780,-99780}
minimo {99779,-99779}
minimo {99778,-99778}
minimo {99777,-99777}
minimo {99776,-99776}
minimo {99775,-99775}
minimo {99774,-99774}
minimo {99773,-99773}
minimo {99772,-99772}
minimo {99771,-99771}
minimo {99770,-99770}
minimo {99769,-99769}
minimo {99768,-99768}
minimo {99767,-99767}
minimo {99766,-99766}
minimo {99765,-99765}
minimo {99764,-99764}
minimo {99763,-99763}
minimo {99762,-99762}
minimo {99761,-99761}
minimo {99760,-99760}
minimo {99759,-99759}
minimo {99758,-99758}
minimo {99757,-99757}
minimo {99756,-99756}
minimo {99755,-99755}
minimo {99754,-99754}
minimo {99753,-99753}
minimo {99752,-99752}
minimo {99751,-99751}
minimo {99750,-99750}
minimo {99749,-99749}
minimo {99748,-99748}
minimo {99747,-99747}
minimo {99746,-99746}
minimo {99745,-99745}
minimo {99744,-99744}
minimo {99743,-99743}
minimo {99742,-99742}
minimo {99741,-99741}
minimo {99740,-99740}
minimo {99739,-99739}
minimo {99738,-99738}
minimo {99737,-99737}
minimo {99736,-99736}
minimo {99735,-99735}
minimo {99734,-99734}
minimo {99733,-99733}
minimo {99732,-99732}
minimo {99731,-99731}
minimo {99730,-99730}
minimo {99729,-99729}
minimo {99728,-99728}
minimo {99727,-99727}
minimo {99726,-99726}
minimo {99725,-99725}
minimo {99724,-99724}
minimo {99723,-99723}
minimo {99722,-99722}
minimo {99721,-99721}
minimo {99720,-99720}
minimo {99719,-99719}
minimo {99718,-99718}
minimo {99717,-99717}
minimo {99716,-99716}
minimo {99715,-99715}
minimo {99714,-99714}
minimo {99713,-99713}
minimo {99712,-99712}
minimo {99711,-99711}
minimo {99710,-99710}
minimo {99709,-99709}
minimo {99708,-99708}
minimo {99707,-99707}
minimo {99706,-99706}
minimo {99705,-99705}
minimo {99704,-99704}
minimo {99703,-99703}
minimo {99702,-99702}
minimo {99701,-99701}
minimo {99700,-99700}
minimo {99699,-99699}
minimo {99698,-99698}
minimo {99697,-99697}
minimo {99696,-99696}
minimo {99695,-99695}
minimo {99694,-99694}
minimo {99693,-99693}
minimo {99692,-99692}
minimo {99691,-99691}
minimo {99690,-99690}
minimo {99689,-99689}
minimo {99688,-99688}
minimo {99687,-99687}
minimo {99686,-99686}
minimo {99685,-99685}
minimo {99684,-99684}
minimo {99683,-99683}
minimo {99682,-99682}
minimo {99681,-99681}
minimo {99680,-99680}
minimo {99679,-99679}
minimo {99678,-99678}
minimo {99677,-99677}
minimo {99676,-99676}
minimo {99675,-99675}
minimo {99674,-99674}
minimo {99673,-99673}
minimo {99672,-99672}
minimo {99671,-99671}
minimo {99670,-99670}
minimo {99669,-99669}
minimo {99668,-99668}
minimo {99667,-99667}
minimo {99666,-99666}
minimo {99665,-99665}
minimo {99664,-99664}
minimo {99663,-99663}
minimo {99662,-99662}
minimo {99661,-99661}
minimo {99660,-99660}
minimo {99659,-99659}
minimo {99658,-99658}
minimo {99657,-99657}
minimo {99656,-99656}
minimo {99655,-99655}
minimo {99654,-99654}
minimo {99653,-99653}
minimo {99652,-99652}
minimo {99651,-99651}
minimo {99650,-99650}
minimo {99649,-99649}
minimo {99648,-99648}
minimo {99647,-99647}
minimo {99646,-99646}
minimo {99645,-99645}
minimo {99644,-99644}
minimo {99643,-99643}
minimo {99642,-99642}
minimo {99641,-99641}
minimo {99640,-99640}
minimo {99639,-99639}
minimo {99638,-99638}
minimo {99637,-99637}
minimo {99636,-99636}
minimo {99635,-99635}
minimo {99634,-99634}
minimo {99633,-99633}
minimo {99632,-99632}
minimo {99631,-99631}
minimo {99630,-99630}
minimo {99629,-99629}
minimo {99628,-99628}
minimo {99627,-99627}
minimo {99626,-99626}
minimo {99625,-99625}
minimo {99624,-99624}
minimo {99623,-99623}
minimo {99622,-99622}
minimo {99621,-99621}
minimo {99620,-99620}
minimo {99619,-99619}
minimo {99618,-99618}
minimo {99617,-99617}
minimo {99616,-99616}
minimo {99615,-99615}
minimo {99614,-99614}
minimo {99613,-99613}
minimo {99612,-99612}
minimo {99611,-99611}
minimo {99610,-99610}
minimo {99609,-99609}
minimo {99608,-99608}
minimo {99607,-99607}
minimo {99606,-99606}
minimo {99605,-99605}
minimo {99604,-99604}
minimo {99603,-99603}
minimo {99602,-99602}
minimo {99601,-99601}
minimo {99600,-99600}
minimo {99599,-99599}
minimo {99598,-99598}
minimo {99597,-99597}
minimo {99596,-99596}
minimo {99595,-99595}
minimo {99594,-99594}
minimo {99593,-99593}
minimo {99592,-99592}
minimo {99591,-99591}
minimo {99590,-99590}
minimo {99589,-99589}
minimo {99588,-99588}
minimo {99587,-99587}
minimo {99586,-99586}
minimo {99585,-99585}
minimo {99584,-99584}
minimo {99583,-99583}
minimo {99582,-99582}
minimo {99581,-99581}
minimo {99580,-99580}
minimo {99579,-99579}
minimo {99578,-99578}
minimo {99577,-99577}
minimo {99576,-99576}
minimo {99575,-99575}
minimo {99574,-99574}
minimo {99573,-99573}
minimo {99572,-99572}
minimo {99571,-99571}
minimo {99570,-99570}
minimo {99569,-99569}
minimo {99568,-99568}
minimo {99567,-99567}
minimo {99566,-99566}
minimo {99565,-99565}
minimo {99564,-99564}
minimo {99563,-99563}
minimo {99562,-99562}
minimo {99561,-99561}
minimo {99560,-99560}
minimo {99559,-99559}
minimo {99558,-99558}
minimo {99557,-99557}
minimo {99556,-99556}
minimo {99555,-99555}
minimo {99554,-99554}
minimo {99553,-99553}
minimo {99552,-99552}
minimo {99551,-99551}
minimo {99550,-99550}
minimo {99549,-99549}
minimo {99548,-99548}
minimo {99547,-99547}
minimo {99546,-99546}
minimo {99545,-99545}
minimo {99544,-99544}
minimo {99543,-99543}
minimo {99542,-99542}
minimo {99541,-99541}
minimo {99540,-99540}
minimo {99539,-99539}
minimo {99538,-99538}
minimo {99537,-99537}
minimo {99536,-99536}
minimo {99535,-99535}
minimo {99534,-99534}
minimo {99533,-99533}
minimo {99532,-99532}
minimo {99531,-99531}
minimo {99530,-99530}
minimo {99529,-99529}
minimo {99528,-99528}
minimo {99527,-99527}
minimo {99526,-99526}
minimo {99525,-99525}
minimo {99524,-99524}
minimo {99523,-99523}
minimo {99522,-99522}
minimo {99521,-99521}
minimo {99520,-99520}
minimo {99519,-99519}
minimo {99518,-99518}
minimo {99517,-99517}
minimo {99516,-99516}
minimo {99515,-99515}
minimo {99514,-99514}
minimo {99513,-99513}
minimo {99512,-99512}
minimo {99511,-99511}
minimo {99510,-99510}
minimo {99509,-99509}
minimo {99508,-99508}
minimo {99507,-99507}
minimo {99506,-99506}
minimo {99505,-99505}
minimo {99504,-99504}
minimo {99503,-99503}
minimo {99502,-99502}
minimo {99501,-99501}
minimo {99500,-99500}
minimo {99499,-99499}
minimo {99498,-99498}
minimo {99497,-99497}
minimo {99496,-99496}
minimo {99495,-99495}
minimo {99494,-99494}
minimo {99493,-99493}
minimo {99492,-99492}
minimo {99491,-99491}
minimo {99490,-99490}
minimo {99489,-99489}
minimo {99488,-99488}
minimo {99487,-99487}
minimo {99486,-99486}
minimo {99485,-99485}
minimo {99484,-99484}
minimo {99483,-99483}
minimo {99482,-99482}
minimo {99481,-99481}
minimo {99480,-99480}
minimo {99479,-99479}
minimo {99478,-99478}
minimo {99477,-99477}
minimo {99476,-99476}
minimo {99475,-99475}
minimo {99474,-99474}
minimo {99473,-99473}
minimo {99472,-99472}
minimo {99471,-99471}
minimo {99470,-99470}
minimo {99469,-99469}
minimo {99468,-99468}
minimo {99467,-99467}
minimo {99466,-99466}
minimo {99465,-99465}
minimo {99464,-99464}
minimo {99463,-99463}
minimo {99462,-99462}
minimo {99461,-99461}
minimo {99460,-99460}
minimo {99459,-99459}
minimo {99458,-99458}
minimo {99457,-99457}
minimo {99456,-99456}
minimo {99455,-99455}
minimo {99454,-99454}
minimo {99453,-99453}
minimo {99452,-99452}
minimo {99451,-99451}
minimo {99450,-99450}
minimo {99449,-99449}
minimo {99448,-99448}
minimo {99447,-99447}
minimo {99446,-99446}
minimo {99445,-99445}
minimo {99444,-99444}
minimo {99443,-99443}
minimo {99442,-99442}
minimo {99441,-99441}
minimo {99440,-99440}
minimo {99439,-99439}
minimo {99438,-99438}
minimo {99437,-99437}
minimo {99436,-99436}
minimo {99435,-99435}
minimo {99434,-99434}
minimo {99433,-99433}
minimo {99432,-99432}
minimo {99431,-99431}
minimo {99430,-99430}
minimo {99429,-99429}
minimo {99428,-99428}
minimo {99427,-99427}
minimo {99426,-99426}
minimo {99425,-99425}
minimo {99424,-99424}
minimo {99423,-99423}
minimo {99422,-99422}
minimo {99421,-99421}
minimo {99420,-99420}
minimo {99419,-99419}
minimo {99418,-99418}
minimo {99417,-99417}
minimo {99416,-99416}
minimo {99415,-99415}
minimo {99414,-99414}
minimo {99413,-99413}
minimo {99412,-99412}
minimo {99411,-99411}
minimo {99410,-99410}
minimo {99409,-99409}
minimo {99408,-99408}
minimo {99407,-99407}
minimo {99406,-99406}
minimo {99405,-99405}
minimo {99404,-99404}
minimo {99403,-99403}
minimo {99402,-99402}
minimo {99401,-99401}
minimo {99400,-99400}
minimo {99399,-99399}
minimo {99398,-99398}
minimo {99397,-99397}
minimo {99396,-99396}
minimo {99395,-99395}
minimo {99394,-99394}
minimo {99393,-99393}
minimo {99392,-99392}
minimo {99391,-99391}
minimo {99390,-99390}
minimo {99389,-99389}
minimo {99388,-99388}
minimo {99387,-99387}
minimo {99386,-99386}
minimo {99385,-99385}
minimo {99384,-99384}
minimo {99383,-99383}
minimo {99382,-99382}
minimo {99381,-99381}
minimo {99380,-99380}
minimo {99379,-99379}
minimo {99378,-99378}
minimo {99377,-99377}
minimo {99376,-99376}
minimo {99375,-99375}
minimo {99374,-99374}
minimo {99373,-99373}
minimo {99372,-99372}
minimo {99371,-99371}
minimo {99370,-99370}
minimo {99369,-99369}
minimo {99368,-99368}
minimo {99367,-99367}
minimo {99366,-99366}
minimo {99365,-99365}
minimo {99364,-99364}
minimo {99363,-99363}
minimo {99362,-99362}
minimo {99361,-99361}
minimo {99360,-99360}
minimo {99359,-99359}
minimo {99358,-99358}
minimo {99357,-99357}
minimo {99356,-99356}
minimo {99355,-99355}
minimo {99354,-99354}
minimo {99353,-99353}
minimo {99352,-99352}
minimo {99351,-99351}
minimo {99350,-99350}
minimo {99349,-99349}
minimo {99348,-99348}
minimo {99347,-99347}
minimo {99346,-99346}
minimo {99345,-99345}
minimo {99344,-99344}
minimo {99343,-99343}
minimo {99342,-99342}
minimo {99341,-99341}
minimo {99340,-99340}
minimo {99339,-99339}
minimo {99338,-99338}
minimo {99337,-99337}
minimo {99336,-99336}
minimo {99335,-99335}
minimo {99334,-99334}
minimo {99333,-99333}
minimo {99332,-99332}
minimo {99331,-99331}
minimo {99330,-99330}
minimo {99329,-99329}
minimo {99328,-99328}
minimo {99327,-99327}
minimo {99326,-99326}
minimo {99325,-99325}
minimo {99324,-99324}
minimo {99323,-99323}
minimo {99322,-99322}
minimo {99321,-99321}
minimo {99320,-99320}
minimo {99319,-99319}
minimo {99318,-99318}
minimo {99317,-99317}
minimo {99316,-99316}
minimo {99315,-99315}
minimo {99314,-99314}
minimo {99313,-99313}
minimo {99312,-99312}
minimo {99311,-99311}
minimo {99310,-99310}
minimo {99309,-99309}
minimo {99308,-99308}
minimo {99307,-99307}
minimo {99306,-99306}
minimo {99305,-99305}
minimo {99304,-99304}
minimo {99303,-99303}
minimo {99302,-99302}
minimo {99301,-99301}
minimo {99300,-99300}
minimo {99299,-99299}
minimo {99298,-99298}
minimo {99297,-99297}
minimo {99296,-99296}
minimo {99295,-99295}
minimo {99294,-99294}
minimo {99293,-99293}
minimo {99292,-99292}
minimo {99291,-99291}
minimo {99290,-99290}
minimo {99289,-99289}
minimo {99288,-99288}
minimo {99287,-99287}
minimo {99286,-99286}
minimo {99285,-99285}
minimo {99284,-99284}
minimo {99283,-99283}
minimo {99282,-99282}
minimo {99281,-99281}
minimo {99280,-99280}
minimo {99279,-99279}
minimo {99278,-99278}
minimo {99277,-99277}
minimo {99276,-99276}
minimo {99275,-99275}
minimo {99274,-99274}
minimo {99273,-99273}
minimo {99272,-99272}
minimo {99271,-99271}
minimo {99270,-99270}
minimo {99269,-99269}
minimo {99268,-99268}
minimo {99267,-99267}
minimo {99266,-99266}
minimo {99265,-99265}
minimo {99264,-99264}
minimo {99263,-99263}
minimo {99262,-99262}
minimo {99261,-99261}
minimo {99260,-99260}
minimo {99259,-99259}
minimo {99258,-99258}
minimo {99257,-99257}
minimo {99256,-99256}
minimo {99255,-99255}
minimo {99254,-99254}
minimo {99253,-99253}
minimo {99252,-99252}
minimo {99251,-99251}
minimo {99250,-99250}
minimo {99249,-99249}
minimo {99248,-99248}
minimo {99247,-99247}
minimo {99246,-99246}
minimo {99245,-99245}
minimo {99244,-99244}
minimo {99243,-99243}
minimo {99242,-99242}
minimo {99241,-99241}
minimo {99240,-99240}
minimo {99239,-99239}
minimo {99238,-99238}
minimo {99237,-99237}
minimo {99236,-99236}
minimo {99235,-99235}
minimo {99234,-99234}
minimo {99233,-99233}
minimo {99232,-99232}
minimo {99231,-99231}
minimo {99230,-99230}
minimo {99229,-99229}
minimo {99228,-99228}
minimo {99227,-99227}
minimo {99226,-99226}
minimo {99225,-99225}
minimo {99224,-99224}
minimo {99223,-99223}
minimo {99222,-99222}
minimo {99221,-99221}
minimo {99220,-99220}
minimo {99219,-99219}
minimo {99218,-99218}
minimo {99217,-99217}
minimo {99216,-99216}
minimo {99215,-99215}
minimo {99214,-99214}
minimo {99213,-99213}
minimo {99212,-99212}
minimo {99211,-99211}
minimo {99210,-99210}
minimo {99209,-99209}
minimo {99208,-99208}
minimo {99207,-99207}
minimo {99206,-99206}
minimo {99205,-99205}
minimo {99204,-99204}
minimo {99203,-99203}
minimo {99202,-99202}
minimo {99201,-99201}
minimo {99200,-99200}
minimo {99199,-99199}
minimo {99198,-99198}
minimo {99197,-99197}
minimo {99196,-99196}
minimo {99195,-99195}
minimo {99194,-99194}
minimo {99193,-99193}
minimo {99192,-99192}
minimo {99191,-99191}
minimo {99190,-99190}
minimo {99189,-99189}
minimo {99188,-99188}
minimo {99187,-99187}
minimo {99186,-99186}
minimo {99185,-99185}
minimo {99184,-99184}
minimo {99183,-99183}
minimo {99182,-99182}
minimo {99181,-99181}
minimo {99180,-99180}
minimo {99179,-99179}
minimo {99178,-99178}
minimo {99177,-99177}
minimo {99176,-99176}
minimo {99175,-99175}
minimo {99174,-99174}
minimo {99173,-99173}
minimo {99172,-99172}
minimo {99171,-99171}
minimo {99170,-99170}
minimo {99169,-99169}
minimo {99168,-99168}
minimo {99167,-99167}
minimo {99166,-99166}
minimo {99165,-99165}
minimo {99164,-99164}
minimo {99163,-99163}
minimo {99162,-99162}
minimo {99161,-99161}
minimo {99160,-99160}
minimo {99159,-99159}
minimo {99158,-99158}
minimo {99157,-99157}
minimo {99156,-99156}
minimo {99155,-99155}
minimo {99154,-99154}
minimo {99153,-99153}
minimo {99152,-99152}
minimo {99151,-99151}
minimo {99150,-99150}
minimo {99149,-99149}
minimo {99148,-99148}
minimo {99147,-99147}
minimo {99146,-99146}
minimo {99145,-99145}
minimo {99144,-99144}
minimo {99143,-99143}
minimo {99142,-99142}
minimo {99141,-99141}
minimo {99140,-99140}
minimo {99139,-99139}
minimo {99138,-99138}
minimo {99137,-99137}
minimo {99136,-99136}
minimo {99135,-99135}
minimo {99134,-99134}
minimo {99133,-99133}
minimo {99132,-99132}
minimo {99131,-99131}
minimo {99130,-99130}
minimo {99129,-99129}
minimo {99128,-99128}
minimo {99127,-99127}
minimo {99126,-99126}
minimo {99125,-99125}
minimo {99124,-99124}
minimo {99123,-99123}
minimo {99122,-99122}
minimo {99121,-99121}
minimo {99120,-99120}
minimo {99119,-99119}
minimo {99118,-99118}
minimo {99117,-99117}
minimo {99116,-99116}
minimo {99115,-99115}
minimo {99114,-99114}
minimo {99113,-99113}
minimo {99112,-99112}
minimo {99111,-99111}
minimo {99110,-99110}
minimo {99109,-99109}
minimo {99108,-99108}
minimo {99107,-99107}
minimo {99106,-99106}
minimo {99105,-99105}
minimo {99104,-99104}
minimo {99103,-99103}
minimo {99102,-99102}
minimo {99101,-99101}
minimo {99100,-99100}
minimo {99099,-99099}
minimo {99098,-99098}
minimo {99097,-99097}
minimo {99096,-99096}
minimo {99095,-99095}
minimo {99094,-99094}
minimo {99093,-99093}
minimo {99092,-99092}
minimo {99091,-99091}
minimo {99090,-99090}
minimo {99089,-99089}
minimo {99088,-99088}
minimo {99087,-99087}
minimo {99086,-99086}
minimo {99085,-99085}
minimo {99084,-99084}
minimo {99083,-99083}
minimo {99082,-99082}
minimo {99081,-99081}
minimo {99080,-99080}
minimo {99079,-99079}
minimo {99078,-99078}
minimo {99077,-99077}
minimo {99076,-99076}
minimo {99075,-99075}
minimo {99074,-99074}
minimo {99073,-99073}
minimo {99072,-99072}
minimo {99071,-99071}
minimo {99070,-99070}
minimo {99069,-99069}
minimo {99068,-99068}
minimo {99067,-99067}
minimo {99066,-99066}
minimo {99065,-99065}
minimo {99064,-99064}
minimo {99063,-99063}
minimo {99062,-99062}
minimo {99061,-99061}
minimo {99060,-99060}
minimo {99059,-99059}
minimo {99058,-99058}
minimo {99057,-99057}
minimo {99056,-99056}
minimo {99055,-99055}
minimo {99054,-99054}
minimo {99053,-99053}
minimo {99052,-99052}
minimo {99051,-99051}
minimo {99050,-99050}
minimo {99049,-99049}
minimo {99048,-99048}
minimo {99047,-99047}
minimo {99046,-99046}
minimo {99045,-99045}
minimo {99044,-99044}
minimo {99043,-99043}
minimo {99042,-99042}
minimo {99041,-99041}
minimo {99040,-99040}
minimo {99039,-99039}
minimo {99038,-99038}
minimo {99037,-99037}
minimo {99036,-99036}
minimo {99035,-99035}
minimo {99034,-99034}
minimo {99033,-99033}
minimo {99032,-99032}
minimo {99031,-99031}
minimo {99030,-99030}
minimo {99029,-99029}
minimo {99028,-99028}
minimo {99027,-99027}
minimo {99026,-99026}
minimo {99025,-99025}
minimo {99024,-99024}
minimo {99023,-99023}
minimo {99022,-99022}
minimo {99021,-99021}
minimo {99020,-99020}
minimo {99019,-99019}
minimo {99018,-99018}
minimo {99017,-99017}
minimo {99016,-99016}
minimo {99015,-99015}
minimo {99014,-99014}
minimo {99013,-99013}
minimo {99012,-99012}
minimo {99011,-99011}
minimo {99010,-99010}
minimo {99009,-99009}
minimo {99008,-99008}
minimo {99007,-99007}
minimo {99006,-99006}
minimo {99005,-99005}
minimo {99004,-99004}
minimo {99003,-99003}
minimo {99002,-99002}
minimo {99001,-99001}
minimo {99000,-99000}
minimo {98999,-98999}
minimo {98998,-98998}
minimo {98997,-98997}
minimo {98996,-98996}
minimo {98995,-98995}
minimo {98994,-98994}
minimo {98993,-98993}
minimo {98992,-98992}
minimo {98991,-98991}
minimo {98990,-98990}
minimo {98989,-98989}
minimo {98988,-98988}
minimo {98987,-98987}
minimo {98986,-98986}
minimo {98985,-98985}
minimo {98984,-98984}
minimo {98983,-98983}
minimo {98982,-98982}
minimo {98981,-98981}
minimo {98980,-98980}
minimo {98979,-98979}
minimo {98978,-98978}
minimo {98977,-98977}
minimo {98976,-98976}
minimo {98975,-98975}
minimo {98974,-98974}
minimo {98973,-98973}
minimo {98972,-98972}
minimo {98971,-98971}
minimo {98970,-98970}
minimo {98969,-98969}
minimo {98968,-98968}
minimo {98967,-98967}
minimo {98966,-98966}
minimo {98965,-98965}
minimo {98964,-98964}
minimo {98963,-98963}
minimo {98962,-98962}
minimo {98961,-98961}
minimo {98960,-98960}
minimo {98959,-98959}
minimo {98958,-98958}
minimo {98957,-98957}
minimo {98956,-98956}
minimo {98955,-98955}
minimo {98954,-98954}
minimo {98953,-98953}
minimo {98952,-98952}
minimo {98951,-98951}
minimo {98950,-98950}
minimo {98949,-98949}
minimo {98948,-98948}
minimo {98947,-98947}
minimo {98946,-98946}
minimo {98945,-98945}
minimo {98944,-98944}
minimo {98943,-98943}
minimo {98942,-98942}
minimo {98941,-98941}
minimo {98940,-98940}
minimo {98939,-98939}
minimo {98938,-98938}
minimo {98937,-98937}
minimo {98936,-98936}
minimo {98935,-98935}
minimo {98934,-98934}
minimo {98933,-98933}
minimo {98932,-98932}
minimo {98931,-98931}
minimo {98930,-98930}
minimo {98929,-98929}
minimo {98928,-98928}
minimo {98927,-98927}
minimo {98926,-98926}
minimo {98925,-98925}
minimo {98924,-98924}
minimo {98923,-98923}
minimo {98922,-98922}
minimo {98921,-98921}
minimo {98920,-98920}
minimo {98919,-98919}
minimo {98918,-98918}
minimo {98917,-98917}
minimo {98916,-98916}
minimo {98915,-98915}
minimo {98914,-98914}
minimo {98913,-98913}
minimo {98912,-98912}
minimo {98911,-98911}
minimo {98910,-98910}
minimo {98909,-98909}
minimo {98908,-98908}
minimo {98907,-98907}
minimo {98906,-98906}
minimo {98905,-98905}
minimo {98904,-98904}
minimo {98903,-98903}
minimo {98902,-98902}
minimo {98901,-98901}
minimo {98900,-98900}
minimo {98899,-98899}
minimo {98898,-98898}
minimo {98897,-98897}
minimo {98896,-98896}
minimo {98895,-98895}
minimo {98894,-98894}
minimo {98893,-98893}
minimo {98892,-98892}
minimo {98891,-98891}
minimo {98890,-98890}
minimo {98889,-98889}
minimo {98888,-98888}
minimo {98887,-98887}
minimo {98886,-98886}
minimo {98885,-98885}
minimo {98884,-98884}
minimo {98883,-98883}
minimo {98882,-98882}
minimo {98881,-98881}
minimo {98880,-98880}
minimo {98879,-98879}
minimo {98878,-98878}
minimo {98877,-98877}
minimo {98876,-98876}
minimo {98875,-98875}
minimo {98874,-98874}
minimo {98873,-98873}
minimo {98872,-98872}
minimo {98871,-98871}
minimo {98870,-98870}
minimo {98869,-98869}
minimo {98868,-98868}
minimo {98867,-98867}
minimo {98866,-98866}
minimo {98865,-98865}
minimo {98864,-98864}
minimo {98863,-98863}
minimo {98862,-98862}
minimo {98861,-98861}
minimo {98860,-98860}
minimo {98859,-98859}
minimo {98858,-98858}
minimo {98857,-98857}
minimo {98856,-98856}
minimo {98855,-98855}
minimo {98854,-98854}
minimo {98853,-98853}
minimo {98852,-98852}
minimo {98851,-98851}
minimo {98850,-98850}
minimo {98849,-98849}
minimo {98848,-98848}
minimo {98847,-98847}
minimo {98846,-98846}
minimo {98845,-98845}
minimo {98844,-98844}
minimo {98843,-98843}
minimo {98842,-98842}
minimo {98841,-98841}
minimo {98840,-98840}
minimo {98839,-98839}
minimo {98838,-98838}
minimo {98837,-98837}
minimo {98836,-98836}
minimo {98835,-98835}
